Hanji,TL
大腸,tuā-tn̂g
大舅,tuā-kū
小腸,sió-tn̂g
山腰,suann-io
大腹肚,tuā-bak-tóo
大腹肚,tuā-bat-tóo
大腹肚,tuā-pak-tóo
口試,kháu-tshì
下跤,ē-kha
土話,thóo-uē
大話,tuā-uē
山貉,suann-hô
山賊,suann-tsha̍t
山跤,suann-kha
下跤手人,ē-kha-tshiú-lâng
大跤胴,tuā-kha-tâng
三跤馬,sann-kha-bé
三跤貓,sann-kha-niau
低路,kē-lōo
大路,tuā-lōo
小路,sió-lōo
大道公,Tāi-tō-kong
三頓,sann tǹg
山雺,suann-bông
大鼓,tuā-kóo
大壽,tuā-siū
大壽,tuǎ-siǔ
大漢,tuā-hàn
大箍,tuā-khoo
大箍,tuǎ-khoo
大箍呆,tuā-khoo-tai
上緊,siōng kín
大腿,tuā-thuí
大腿骨,tuā-thuí-kut
上蓋,siōng-kài
小說,siáu-suat
小說,sió-suat
大銀,tuā-gîn
大銀,tuā-gûn
小銀,sió-gîn
小銀,sió-gûn
亡魂,bông-hûn
大餅,tuā-piánn
三層,sam-tsân
工寮,kang-liâu
工廠,kang-tshiúnn
三層肉,sam-tsân-bah
大廣絃,tuā-kóng-hiân
小數,sió-sòo
干樂,kan-lo̍k
大熱,tuā-jua̍h
大熱,tuā-lua̍h
大範,tuā-pān
山線,Suann-suànn
山線,suann-suànn
三線路,sam-suànn-lōo
上課,siōng-khò
工課,khang-khuè
工課,khang-khè
工課,khang-khèr
工課,khang-khìr
才調,tsâi-tiāu
大賣,tuā-buē
大賣,tuā-bē
小賣,sió-buē
小賣,sió-bē
山豬,suann-ti
山豬,suann-tu
下輩,ē-puè
三輪車,sann-lián-tshia
三輪車,sann-lín-tshia
下頦,ē-huâi
下頦,ē-hâi
下頦,ě-hâi
大學,tuā-o̍h
大學,tāi-ha̍k
小學,sió-ha̍k
弓蕉,kin-tsio
弓蕉,kin-tsior
弓蕉,king-tsio
弓蕉,kirn-tsio
弓蕉油,king-tsio-iû
山貓,suann-niau
口頭,kháu-thâu
山頭,suann-thâu
工頭,kang-thâu
上頭仔,siōng-thâu-á
大頭拇,tuā-thâu-bó
大頭拇,tuā-thâu-bú
大頷胿,tuā-ām-kui
大頭菜,tuā-thâu-tshài
大戲,tuā-hì
山嶺,suann-niá
土檨仔,thóo-suāinn-á
上濟,siōng tsuē
上濟,siōng tsē
上聲,sióng-siann
大聲,tuā siann
大聲,tuā-siann
大膽,tuā-tánn
大聲話,tuā-siann-uē
下擺,ē-pái
小嬸,sió-tsím
土雞仔,thóo-ke-á
土雞仔,thóo-kue-á
下顎,ē-khok
下顎,ē-kok
工藝,kang-gē
下願,hē-guān
大龐,tuā-phiāng
大麵,tuā-mī
大欉,tuā-tsâng
大廳,tuā-thiann
不,puh
不,put
丑,thiú
中,ting
中,tiong
中,tiòng
中,tìng
丹,tan
之,tsi
予,hōo
予,hǒo
五,gōo
五,gǒo
五,ngóo
井,tsénn
井,tsíng
井,tsínn
仁,jîn
仁,lîn
仄,tseh
仆,phak
仇,kiû
仇,siû
今,kim
今,kin
今,tann
允,ín
允,ún
內,luē
內,lāi
公,kang
公,kong
六,la̍k
六,lio̍k
冇,phànn
冗,liōng
冗,līng
冗,lǐng
凶,hiong
分,hun
分,hūn
分,pun
切,tshiat
切,tshè
勻,ûn
勼,kiu
勾,kau
內䘥仔,lāi-kah--á
內䘥仔,lāi-kah-á
內䘥仔,lǎi-kah-á
中人,tiong-lâng
允人,ín--lâng
允人,ún--lâng
不才,put-tsâi
內山,lāi-suann
內才,lāi-tsâi
分寸,hun-tshùn
不三不四,put-sam-put-sù
不仁,put-jîn
不仁,put-lîn
中元,Tiong-guân
五仁,ngóo-jîn
五仁,ngóo-lîn
仁丹,jîn-tan
仁丹,lîn-tan
內公,lāi-kong
公元,kong-guân
公分,kong-hun
公分,kong-pun
勻勻仔,ûn-ûn-á
勻勻仔火,ûn-ûn-á-hué
勻勻仔火,ûn-ûn-á-hé
五分仔車,gōo-hun-á-tshia
不中用,put-tiòng-iōng
五分車,gōo-hun-tshia
不止,put-tsí
中心,tiong-sim
井水,tsénn-tsuí
井水,tsínn-tsuí
內心,luē-sim
公文,kong-bûn
公斤,kong-kin
公斤,kong-kun
冇手,phànn-tshiú
切手,khi̍t-teh
切手,tshiat-tshiú
勼手,kiu-tshiú
勼水,kiu-tsuí
勾引,kau-ín
六月天,la̍k-ge̍h-thinn
六月天,la̍k-gue̍h-thinn
不止仔,put-tsí-á
六月冬,la̍k gue̍h tang
六月冬,la̍k-ge̍h-tang
六月冬,la̍k-gue̍h-tang
五日節,Gōo-ji̍t-tseh
五日節,Gōo-ji̍t-tsueh
五日節,Gōo-li̍t-tseh
五日節,Gōo-li̍t-tsueh
五日節,gōo-ji̍t-tseh
五月節,Gōo-ge̍h-tseh
五月節,Gōo-ge̍h-tsueh
五月節,Gōo-gue̍h-tseh
五月節,Gōo-gue̍h-tsueh
五月節,Gōo-ge̍h-tsueh
五月節,Gōo-ge̍rh-tsueh
五月節,Gōo-gue̍h-tseh
五月節,Gōo-gēr-tsereh
五月節,gōo-ge̍h-tsueh
五月節,gōo-ge̍rh-tsueh
丑仔,thiú-á
今仔,tann-á
今仔日,kin-á-ji̍t
今仔日,kin-á-li̍t
勻仔是,ûn-á-sī
中古,tiong-kóo
內外,lāi-guā
五加皮,ngóo-ka-pî
內奶,lāi-ling
內奶,lāi-ni
公平,kong-pênn
公平,kong-pînn
公母,kang-bó
公民,kong-bîn
中用,tiòng-iōng
中立,tiong-li̍p
丹田,tan-tiân
公用,kong-iōng
冇石仔,phànn-tsio̍h-á
冇石仔,phànn-tsio̍rh-á
予伊,hōo i
介在,kài-tsāi
公共,kong-kiōng
六合,lio̍k-ha̍p
今年,kin-nî
內地,lāi-tuē
內地,lāi-tē
凶年,hiong-nî
中旬,tiong-sûn
冗早,liōng-tsá
不死鬼,put-sú-kuí
內行,lāi-hâng
內行的,lāi-hâng--ê
不而過,put-jî-kò
不而過,put-lî-kò
不但,put-tān
分伻,pun-phenn
分別,hun-pia̍t
不孝,put-hàu
不求人,put-kiû-jîn
不求人,put-kiû-lîn
公里,kong-lí
分身,hun-sin
公事,kong-sū
中和,Tiong-hô
中和,tiong-hô
內底,lāi-teré
內底,lāi-tué
內底,lāi-té
公所,kong-sóo
不服,put-ho̍k
分明,hun-bîng
不法,put-huat
六法全書,Lio̍k-huat-tsuân-su
公的,kang--ê
分的,pun--ê
五金,ngóo-kim
五金行,ngóo-kim-hâng
中指,tiong-tsuínn
中指,tiong-tsái
中指,tiong-tsáinn
中指,tiong-tsán
內政,luē-tsìng
五柳居,ngóo-liú-ki
五柳居,ngóo-liú-ku
中毒,tiòng-to̍k
丹毒,tan-to̍k
冇炭,phànn-thuànn
分派,hun-phài
中秋,Tiong-tshiu
內科,lāi-kho
中秋節,Tiong-tshiu-tseh
中秋節,Tiong-tshiu-tsueh
中秋餅,Tiong-tshiu-piánn
中計,tiòng-kè
內衫,lāi-sann
中風,tiòng-hong
五香,ngóo-hiang
元首,guân-siú
內面,lāi-bīn
允准,ín-tsún
允准,ún-tsún
內套,lāi-thò
元宵,Guân-siau
內孫,lāi-sun
內容,luē-iông
公家,kong-ka
公家,kong-ke
不時,put-sî
六書,lio̍k-su
元氣,guân-khì
六畜,lio̍k-thiok
元神,guân-sîn
中脊,tiong-tsit
分配,hun-phuè
分配,hun-phè
不動產,put-tōng-sán
公婆,kong-pô
五彩,ngóo-tshái
分張,pun-tiunn
不得了,put-tik-liáu
不得已,put-tik-í
內情,luē-tsîng
中晝,tiong-tàu
中晝時,tiong-tàu-sî
中晝飯,tiong-tàu-pn̄g
中晝頓,tiong-tàu-tǹg
公眾,kong-tsiòng
介紹,kài-siāu
中途,tiong-tôo
內部,luē-pōo
冗剩,liōng-siōng
內場,lāi-tiûnn
公寓,kong-gū
分散,hun-suànn
不敢當,put-kám-tong
分發,hun-huat
中等,tiong-tíng
勾結,kau-kiat
不答不七,put-tap-put-tshit
五筋膎,gōo-kin-kê
五筋膎,gōo-kirn-kerê
五筋膎,gōo-kun-kuê
五筋膎,gǒo-kun-kuê
公費,kong-huì
中間,tiong-kan
公開,kong-khai
公開,kong-khui
分開,hun-khui
中傷,tiòng-siong
內傷,lāi-siong
公債,kong-tsè
公園,kong-hn̂g
內媽,lāi-má
公媽,kong-má
中意,tìng-ì
仁愛,Jîn-ài
仁愛,jîn-ài
仁愛,lîn-ài
仁慈,jîn-tsû
仁慈,lîn-tsû
凶煞,hiong-suah
不義,put-gī
仁義,jîn-gī
仁義,lîn-gī
內裡,lāi-lí
勼跤,kiu-kha
五路,ngóo-lōo
公路,kong-lōo
公道,kong-tō
不滿,put-buán
五福,ngóo-hok
不管時,put-kuán-sî
內閣,luē-koh
冇數,phànn-siàu
分數,hun-sòo
五穀,ngóo-kok
中學,tiong-ha̍k
中學,tiong-o̍h
公學校,kong-ha̍k-hāu
公學校,kong-ha̍k-hǎu
公親,kong-tshin
分錢,pun-tsînn
公館,Kong-kuán
公館,kong-kuán
冇蟳,phànn-tsîm
中醫,tiong-i
分類,hun-luī
分鐘,hun-tsing
分攤,hun-thuann
五臟,ngóo-tsōng
化,hua
化,huà
匹,phit
升,sing
升,tsin
午,gōo
午,ngóo
厄,eh
友,iú
反,huán
反,puínn
反,páinn
反,pán
反,píng
壬,jîm
壬,lîm
天,thian
天,thinn
太,thài
夫,hu
少,siàu
少,siáu
少,tsió
少,tsiór
尺,tshe
尺,tshik
尺,tshioh
尺,tshiorh
廿,jia̍p
廿,lia̍p
引,ín
心,sim
戶,Hōo
戶,hōo
手,siú
手,tshiú
支,ki
支,tsi
文,bûn
斗,táu
斗,tóo
斤,kin
斤,kirn
斤,kun
方,hng
方,hong
方,png
方,puinn
日,gi̍t
日,ji̍t
日,li̍t
月,ge̍h
月,ge̍rh
月,gua̍t
月,gue̍h
木,ba̍k
木,bo̍k
欠,khiàm
止,tsí
歹,pháinn
歹,tái
毋,m̄
比,pí
毛,Môo
毛,mn̂g
毛,moo
毛,môo
氏,sī
水,suí
水,tsuí
歹𤆬頭,pháinn-tshuā-thâu
手䘼,tshiú-uínn
手䘼,tshiú-ńg
廿一,jia̍p-it
廿一,lia̍p-it
夫人,hu-jîn
夫人,hu-lîn
歹人,pháinn-lâng
天九牌,thian-kiú-pâi
天下,thian-hā
天才,thian-tsâi
少女,siàu-lí
少女,siàu-lú
戶口,hōo-kháu
手下,tshiú-hā
手工,tshiú-kang
日子,ji̍t-tsí
日子,li̍t-tsí
木工,ba̍k-kang
毋才,m̄-tsiah
水土,tsuí-thóo
孔子公,Khóng-tsú-kong
手巾仔,tshiú-kin-á
手巾仔,tshiú-kirn-á
手巾仔,tshiú-kun--á
手巾仔,tshiú-kun-á
戶口名,hōo-kháu-miâ
月下老人,gua̍t-hā-nóo-jîn
月下老人,gua̍t-hā-nóo-lîn
戶口抄本,hōo-kháu-tshau-pún
天井,thian-tsénn
天井,thian-tsínn
天井,thinn-tsénn
天井,thinn-tsínn
天公,Thinn-kong
月中,ge̍h-tiong
月中,gue̍h-tiong
月內,ge̍h-lāi
月內,gue̍h-lāi
水井,tsuí-tsénn
水井,tsuí-tsínn
天公生,Thinn-kong-senn
天公生,Thinn-kong-sinn
月內房,ge̍h-lāi-pâng
月內房,gue̍h-lāi-pâng
天公金,Thinn-kong kim
天公金,Thinn-kong-kim
月內風,ge̍h-lāi-hong
月內風,gue̍h-lāi-hong
天公祖,Thinn-kong-tsóo
反天,huán-thinn
天文,thian-bûn
太太,thài-thài
文化,bûn-huà
月日,ge̍h-li̍t
月日,gue̍h-ji̍t
歹天,pháinn-thinn
歹心,pháinn-sim
歹手爪,pháinn-tshiú-jiáu
歹手爪,pháinn-tshiú-niáu
文文仔笑,bûn-bûn-á-tshiò
天反地亂,thinn-huán-tuē-luān
天反地亂,thinn-huán-tē-luān
木心枋,bo̍k-sim-pang
日月蚶,ji̍t-gua̍t-ham
日月蚶,li̍t-gua̍t-ham
日月蟶,ji̍t-gua̍t-than
日月蟶,li̍t-gua̍t-than
反爿,píng-pîng
